description,keywords,title,sentiment
"Five stocks were added to the Zacks Rank #1 (Strong Buy) list today, including Invesco Mortgage Capital, Expro Group Holdings, La-Z-Boy, Associated British Foods, and Selective Insurance Group. The Zacks Consensus Estimate for the current year earnings of these companies has increased significantly over the last 60 days.","['Zacks Rank', 'Strong Buy', 'Earnings Estimate', 'Mortgage-Backed Securities', 'Oil and Gas Services', 'Furniture', 'Food and Retail', 'Insurance']",New Strong Buy Stocks for February 27th,positive
"Ulta Beauty reported a solid Q3 earnings beat, but analysts note that the company is facing a challenging consumer environment and is relying more on promotions and marketing to drive sales.","['Ulta Beauty', 'Q3 earnings', 'consumer environment', 'promotions', 'marketing']",'Things Are Getting Tougher' For Ulta Beauty: 3 Analysts Deep Dive Solid Q3 Beat,neutral
"Airbnb's stock has surged over 50% in 2023, beating the Nasdaq Composite index. The company's impressive earnings, sales growth, and strong cash flow suggest a long runway for growth. However, the stock's high valuation compared to peers raises concerns about overpaying.","['Airbnb', 'stock performance', 'growth potential', 'valuation']","2 Reasons to Buy Airbnb Stock, and 1 Reason to Sell",positive
"Telefonica (TEF) and Telus (TU) are two Diversified Communication Services stocks. Based on valuation metrics like forward P/E and PEG ratio, Telefonica appears to be the better value option compared to Telus.","['Telefonica', 'Telus', 'Diversified Communication Services', 'Value Investing']",TEF or TU: Which Is the Better Value Stock Right Now?,positive
"11 analysts have an average price target of $21.18 for Harmonic (NASDAQ:HLIT), implying an upside from the current price of $17.97. The average price target has increased by 5.9% over the past month, indicating a positive sentiment from analysts.","['Harmonic', 'analyst ratings', 'price target']",What 11 Analyst Ratings Have To Say About Harmonic,positive
"EF Hutton has initiated coverage on Sonnet BioTherapeutics with a Buy rating and a $6.70 price target, citing the company's promising cancer treatment pipeline and its FullyHuman Albumin Binding (FHAB) protein engineering platform.","['Sonnet BioTherapeutics', 'cancer treatment', 'protein engineering']","Analyst Sees Around 1,500% Upside For This Penny Stock Focused On Cancer",positive
"The WisdomTree U.S. SmallCap Dividend ETF (DES) is a smart beta exchange-traded fund that provides exposure to the small-cap value segment of the market. The fund has a 12-month trailing dividend yield of 2.99% and an expense ratio of 0.38%. It has performed well, adding 2.95% so far this year and 1.06% in the past year.","['WisdomTree U.S. SmallCap Dividend ETF', 'smart beta ETF', 'small-cap value', 'dividend yield', 'expense ratio', 'performance']",Is WisdomTree U.S. SmallCap Dividend ETF (DES) a Strong ETF Right Now?,neutral
"NextEra Energy Partners (NEP) faces challenges as it needs to refinance over $2 billion in debt in the next two years, with rising interest rates posing a significant risk. Investors are worried about the impact on the company's cash flow and dividend, which currently yields 14.3%. However, the author believes the company's business strength is being overlooked and presents a buying opportunity for long-term investors.","['NextEra Energy Partners', 'interest rates', 'debt refinancing', 'dividend']",Why NextEra Energy Partners Stock Dropped 5.4% Today,neutral
"Over the past 3 months, 10 analysts have published their opinion on Paycom Software (PAYC) stock. The company has an average price target of $385.4, with a high of $450.00 and a low of $310.00.","['Paycom Software', 'analyst ratings']",Analyst Ratings for Paycom Software,positive
"LendingClub, a digital marketplace bank, has maintained profitability in the challenging rising interest rate environment, unlike many other consumer fintech companies. The company's flexibility in funding loans through deposits has allowed it to navigate the market conditions, and its focus on consolidating credit card debt presents a significant growth opportunity.","['LendingClub', 'fintech', 'credit card debt', 'interest rates']",This Profitable Fintech Stock Trades at a Discount,positive
"Insiders have been aggressively buying shares in several penny stocks, including CLS Holdings USA, ObsEva, BrightRock Gold, and Ensysce Biosciences, indicating their confidence in the companies' prospects.","['insider trading', 'penny stocks', 'CLS Holdings USA', 'ObsEva', 'BrightRock Gold', 'Ensysce Biosciences']","ObsEva, Ensysce Biosciences And 2 Other Stocks Under $1 Insiders Are Aggressively Buying",positive
"Worthington Industries, a metal manufacturer, saw its stock price increase slightly in the latest market close, outperforming the broader market. However, the company's stock has underperformed its industry and the S&P 500 over the past month. Investors are eagerly awaiting the company's upcoming earnings report, which is expected to show a significant year-over-year increase in earnings per share.","['Worthington Industries', 'metal manufacturer', 'stock performance', 'earnings outlook']",Worthington Industries (WOR) Rises As Market Takes a Dip: Key Facts,neutral
"Lumen Technologies' stock rose after its new CEO and CFO made significant stock purchases, and the company announced a new $110 million contract with the Department of Defense. However, the company is still heavily indebted and facing declining revenues, and investors should be cautious about its turnaround attempt.","['Lumen Technologies', 'telecom', 'turnaround', 'insider buying', 'Department of Defense']",Why Lumen Technologies Was on the Rise Today,neutral
"Ross Stores, Inc. is expected to report revenue and earnings growth in the second quarter of fiscal 2023. The company has been benefiting from robust customer demand and improved traffic trends, but is also facing challenges from inflationary pressures and increased costs.","['Ross Stores', 'earnings', 'revenue', 'customer demand', 'inflation', 'costs']",Will Higher SG&A Expenses Mar Ross Stores' (ROST) Q2 Earnings?,neutral
"Griffon (GFF) and Star Equity (STRR) are outperforming the Conglomerates sector, with Griffon up 37.9% and Star Equity up 43.8% year-to-date. Both companies have seen positive earnings estimate revisions, indicating a stronger earnings outlook.","['Conglomerates', 'Griffon', 'Star Equity', 'Earnings Estimate Revisions']",Is Griffon (GFF) Outperforming Other Conglomerates Stocks This Year?,positive
"Helen of Troy reported Q4 earnings of $2.01 per share, beating the Zacks Consensus Estimate of $1.89. However, the company's revenues of $484.58 million surpassed the consensus estimate by 6.23%. The company's stock has underperformed the S&P 500 so far this year.","['earnings', 'earnings-estimates', 'earnings-outlook', 'earnings-surprise', 'industry-outlook', 'zacks-consensus-estimate', 'zacks-rank']",Helen of Troy (HELE) Surpasses Q4 Earnings and Revenue Estimates,negative
"Cabot Corporation has launched a new line of certified circular black masterbatch products under its REPLASBLAK brand. The products are powered by the company's EVOLVE Sustainable Solutions technology platform, which aims to offer sustainable content and performance at an industrial scale.","['Cabot Corporation', 'black masterbatch', 'sustainability', 'circular economy']",Cabot (CBT) Unveils REPLASBLAK Masterbatch Product Family,positive
"Zoom Video Communications (ZM) was a prime beneficiary of the pandemic, but its revenue growth is now slowing as economies reopen. This article reviews Zoom's latest earnings results and determines if the stock is still a buy.","['Zoom Video Communications', 'revenue growth', 'pandemic', 'stock recommendation']",Is Zoom Stock a Buy After Q4 Earnings?,neutral
"Shoals Technologies Group, Inc. announced the pricing of a secondary offering of 24,501,650 shares of its Class A common stock by certain selling stockholders at $24.70 per share. The company will not receive any proceeds from the sale.","['secondary offering', 'Class A common stock', 'selling stockholders']","Shoals Technologies Group, Inc. Announces Pricing of Secondary Offering of 24,501,650 Shares of Class A Common Stock by Selling Stockholders",neutral
"Durable Goods Orders for February came in much weaker than expected, raising concerns about a potential economic slowdown. The data suggests the Federal Reserve may pause its interest rate hikes, but there are worries that the economy could be heading towards a recession.","['Durable Goods Orders', 'Federal Reserve', 'Recession']",Pre-Markets Struggle to Keep Weekly Gains; Durable Goods Sink,neutral
"The article discusses the Zacks Focus List, a curated portfolio of 50 stocks selected to outperform the market over the next 12 months. The portfolio's past performance has outpaced the S&P 500, and the selection process focuses on stocks with upward earnings estimate revisions and a strong Zacks Rank.","['Zacks Focus List', 'stock portfolio', 'earnings estimate revisions', 'Zacks Rank']",Why JPMorgan Chase & Co. (JPM) is a Top Stock for the Long-Term,positive
"Veon, a telecom company focused on Russia and Central Asia, has received approval from Russian regulators to sell its operations in the country. The sale is expected to be accretive to equity, reduce Veon's debt, and improve its credit profile.","['Veon', 'telecom', 'Russia', 'divestment', 'regulatory approval']",Why Veon Stock Blasted 10% Higher on Wednesday,positive
"AECOM reported decent fourth-quarter fiscal 2023 results, with earnings meeting the Zacks Consensus Estimate and revenues topping the same. The company's design business saw double-digit organic net service revenues growth, and it provided positive fiscal 2024 guidance.","['AECOM', 'Q4 Fiscal 2023 Results', 'Fiscal 2024 Guidance']","AECOM (ACM) Q4 Earnings Meet, Revenues Beat, NSR Rises Y/Y",positive
"Orange is holding its annual general meeting on May 23, 2023. The company has made available information related to the meeting on its website and through other channels.","['annual general meeting', 'shareholder information']",Orange: Assemblée générale du 23 mai 2023 - Modalités de mise à disposition ou de consultation des informations relatives à l'Assemblée générale mixte des actionnaires,neutral
"DocuSign reported Q1 2023 earnings that beat estimates, but its shares have underperformed the market so far this year. The company's earnings outlook is unfavorable, leading to a Zacks Rank #5 (Strong Sell) rating, indicating the stock is expected to underperform the market in the near future.","['earnings', 'earnings-estimates', 'earnings-outlook', 'earnings-surprise', 'industry-outlook', 'zacks-consensus-estimate', 'zacks-rank']",DocuSign (DOCU) Surpasses Q1 Earnings and Revenue Estimates,negative
"Apple has unveiled the fourth season of its space drama 'For All Mankind' and is expanding its content portfolio on Apple TV+, which has been gaining recognition due to its impressive content. Apple TV+'s market share has increased, and the company is partnering with Paramount for the distribution of its upcoming movie 'Killers of the Flower Moon'.","['Apple TV+', 'content portfolio', 'streaming market', 'market share']",Apple (AAPL) Unveils Trailer of For All Mankind Season 4,positive
"H&E Equipment, a construction and industrial equipment service provider, saw its stock price increase by 0.7% in the most recent trading day, outpacing the S&P 500's daily loss. The company is expected to report strong earnings growth in its upcoming earnings release.","['H&E Equipment', 'construction equipment', 'industrial equipment', 'earnings release']",H&E Equipment (HEES) Gains As Market Dips: What You Should Know,positive
"Over the past 3 months, 12 analysts have published their opinion on DoubleVerify Hldgs, with an average price target of $34.08 versus the current price of $30.27, implying upside potential.","['DoubleVerify Hldgs', 'analyst ratings']",Where DoubleVerify Hldgs Stands With Analysts,positive
"Lowe's is expanding its same-day delivery service nationwide in collaboration with OneRail, a major omnichannel fulfillment solution. This move is part of the company's Total Home strategy to enhance the customer experience and drive growth.","[""Lowe's"", 'same-day delivery', 'omnichannel', 'customer experience', 'growth']",Lowe's (LOW) Continues Same-Day Delivery Expansion With OneRail,positive
"Galapagos NV announced the departure of Bart Filius, its President, Chief Operating Officer, and Chief Financial Officer. Filius has been with the company since 2014 and played a key role in its growth and development. The company is actively searching for a successor.","['Galapagos', 'leadership transition', 'Chief Operating Officer', 'Chief Financial Officer']","Galapagos kondigt vertrek aan van Bart Filius, Chief Operating Officer en Chief Financial Officer",neutral
"If you had invested $1000 in Inter Parfums 10 years ago, your investment would now be worth $5,391.03, a gain of 439.10%. This outperformed the S&P 500 and gold over the same period. Inter Parfums is benefiting from its strong brand portfolio and global distribution network, though it faces higher expenses and unfavorable currency rates.","['investment', 'stock performance', 'Inter Parfums', 'brand portfolio', 'global distribution']","If You Invested $1000 in Inter Parfums a Decade Ago, This is How Much It'd Be Worth Now",positive
"Anavex Life Sciences announced the publication of a peer-reviewed study in Clinical Pharmacology in Drug Development, which confirmed the cardiovascular safety of their drug candidate ANAVEX®3-71 in a first-in-human study. The results showed that ANAVEX®3-71 had no clinically relevant effects on ECG parameters, supporting its drug development program.","['Anavex Life Sciences', 'ANAVEX®3-71', 'cardiovascular safety', 'first-in-human study', 'drug development']",Anavex Life Sciences Reports Publication of ANAVEX®3-71 in Clinical Journal Confirming ANAVEX®3-71 Clinical Cardiovascular Safety,positive
"Teladoc Health faced challenges in 2022 due to billion-dollar noncash goodwill impairment charges, which led to a significant net loss. However, the company is now focused on revenue growth and profitability, with efforts to improve its cost structure and efficiency. Despite the setbacks, Teladoc remains a leader in the growing telemedicine market.","['Teladoc Health', 'goodwill impairment charges', 'revenue growth', 'profitability', 'telemedicine']",Is It Too Late to Buy Teladoc Stock?,neutral
"The stock market is up today, with a mix of Israel-Hamas War headlines and an upbeat sentiment heading into earnings season. The article discusses four hot penny stocks to watch: Virgin Galactic (SPCE), JetBlue (JBLU), Momentus (MNTS), and FuboTV (FUBO).","['penny stocks', 'SPCE', 'JBLU', 'MNTS', 'FUBO', 'stock market', 'earnings season']",4 Hot Penny Stocks To Watch With The Stock Market Up Today,positive
"Treasure Global Inc (TGI) announced that it will report its financial results for the third quarter of fiscal year 2023 on May 9, 2023, and host a conference call that morning.","['Treasure Global Inc', 'financial results', 'conference call']","Treasure Global to Report Third Quarter Fiscal Year 2023 Results on May 9, 2023",neutral
"Oatly Group AB, the world's largest oat drink company, will report its Q4 and full-year 2022 financial results on March 15, 2023. The company will host a conference call and webcast to discuss the results.","['Oatly', 'financial results', 'Q4 2022', 'full year 2022']","Oatly to Report Fourth Quarter and Full Year 2022 Financial Results on March 15, 2023",neutral
"GSK reported strong Q3 results, beating earnings and revenue estimates. The company raised its 2023 guidance, citing growth across all business segments. The launch of the RSV vaccine Arexvy and strong demand for Shingrix drove vaccine sales higher.","['earnings', 'revenue', 'guidance', 'vaccines', 'specialty medicines', 'general medicines']",Why Is Glaxo (GSK) Up 5.3% Since Last Earnings Report?,positive
"Roku, a streaming giant, has seen growth in active accounts, streaming hours, and platform revenue, showcasing its market strength. However, the company faces challenges, including lack of profitability, which it aims to address through strategic investments and diversification of revenue streams. Investors should approach Roku with cautious optimism, as its continued growth potential makes it a viable long-term investment, albeit with risks to monitor.","['Roku', 'streaming', 'financial performance', 'user engagement', 'profitability', 'investment potential']","Roku's Making Steady Financial Progress, But Is It Enough for Long-Term Investors?",positive
"Valero Energy (VLO) closed lower, lagging the S&P 500, as the oil refiner prepares to report earnings on January 26, 2023. Analysts expect strong year-over-year growth, but recent estimate revisions have been negative.","['Valero Energy', 'oil refiner', 'earnings', 'estimate revisions']",Valero Energy (VLO) Stock Sinks As Market Gains: What You Should Know,neutral
"Stocks pulled back in October, with the Dow Jones Industrial Average outperforming the other major indexes. The article analyzes the three worst-performing Dow stocks last month - Caterpillar, Chevron, and Dow - to determine if any are worth buying.","['Dow Jones Industrial Average', 'stock market', 'Caterpillar', 'Chevron', 'Dow']",Is It Time to Buy the Dow Jones' 3 Worst-Performing Stocks of October?,positive
"Alibaba's cloud computing division is laying off 7% of its workforce as it prepares to spin off and IPO the division. This move is aimed at making the division profitable ahead of the IPO. However, a Susquehanna analyst has downgraded Alibaba's stock due to macro and pandemic concerns, leading to a decline in the stock price.","['Alibaba', 'cloud computing', 'layoffs', 'IPO', 'downgrade']",Why Alibaba Stock Ticked Lower Today,negative
"The Bancorp reported Q3 earnings of $0.92 per share, missing the Zacks Consensus Estimate of $0.93 per share. Revenues also fell short of expectations at $115.66 million. The company's performance was mixed, with a surprise of -1.08% on earnings but a positive surprise of 3.49% in the previous quarter.","['earnings', 'earnings-estimates', 'earnings-outlook', 'earnings-surprise', 'industry-outlook', 'zacks-consensus-estimate', 'zacks-rank']",The Bancorp (TBBK) Q3 Earnings and Revenues Miss Estimates,neutral
"KANZHUN LIMITED, a leading online recruitment platform in China, announced that it will hold an annual general meeting of shareholders on June 26, 2023. The company has filed its annual report for the fiscal year ended December 31, 2022.","['KANZHUN LIMITED', 'annual general meeting', 'annual report']","KANZHUN LIMITED to Hold Annual General Meeting on June 26, 2023",positive
Corvus Pharmaceuticals presented new interim data from its Phase 1/1b clinical trial of soquelitinib in patients with relapsed peripheral T cell lymphoma (PTCL). The data showed durable anti-tumor activity and supported the advancement of soquelitinib into a Phase 3 registrational clinical trial in PTCL.,"['Corvus Pharmaceuticals', 'soquelitinib', 'peripheral T cell lymphoma', 'Phase 1/1b clinical trial', 'Phase 3 clinical trial']",Corvus Pharmaceuticals Presents New Interim Soquelitinib Data from its Phase 1/1b T Cell Lymphoma Trial,positive
"The article discusses the First Trust NASDAQ Semiconductor ETF (FTXL), a passively managed exchange-traded fund that provides exposure to the semiconductor industry. It highlights the fund's performance, cost, and sector exposure, and compares it to similar ETFs like the iShares Semiconductor ETF (SOXX) and the VanEck Semiconductor ETF (SMH).","['First Trust NASDAQ Semiconductor ETF', 'semiconductor industry', 'ETF', 'iShares Semiconductor ETF', 'VanEck Semiconductor ETF']",Should You Invest in the First Trust NASDAQ Semiconductor ETF (FTXL)?,positive
"Revolution Medicines, Inc. (RVMD) is expected to beat earnings estimates for the quarter ended March 2023. The company's Earnings ESP of +7.90% and Zacks Rank of #3 suggest a likely earnings beat. Karyopharm Therapeutics (KPTI), another industry player, is expected to post a loss for the same quarter.","['earnings', 'estimates', 'Revolution Medicines', 'Karyopharm Therapeutics']","Revolution Medicines, Inc. (RVMD) Expected to Beat Earnings Estimates: Should You Buy?",positive
"Fiserv reported Q4 earnings of $1.91 per share, in line with estimates, and revenues of $4.36 billion, beating estimates. The company's performance was mixed, with earnings missing expectations in the previous quarter but beating in two of the last four quarters.","['earnings', 'earnings-estimates', 'earnings-outlook', 'earnings-surprise', 'industry-outlook', 'zacks-consensus-estimate', 'zacks-rank']",Fiserv (FISV) Q4 Earnings Match Estimates,neutral
"Alvotech and Teva have reached a settlement and license agreement with Johnson & Johnson concerning Alvotech's proposed biosimilar to Stelara® (ustekinumab). The agreement grants Alvotech a license entry date for its biosimilar in the United States no later than February 21, 2025.","['biosimilar', 'ustekinumab', 'Stelara', 'settlement', 'license agreement']","Alvotech and Teva Secure U.S. License Date for AVT04, a Proposed Biosimilar to Stelara®",positive
"Titan Machinery, a leading agricultural and construction equipment dealer, has announced the acquisition of O'Connors, the largest Case IH dealership group in Australia, for $63 million. The acquisition is expected to be immediately accretive and provide Titan with a strong presence in the Australian market.","['Titan Machinery', ""O'Connors"", 'Case IH', 'Australia', 'Acquisition']",Titan Machinery Inc. Announces Strategic Acquisition of O’Connors,positive
"The article discusses the momentum investing strategy, which involves buying high-performing stocks and selling them at even higher prices. It highlights the risks of this approach and suggests a safer alternative of investing in bargain stocks with recent price momentum. The article focuses on AGCO, a farm equipment maker, as an example of a stock that fits this criteria.","['momentum investing', 'bargain stocks', 'price momentum', 'AGCO']",Agco (AGCO) Is Attractively Priced Despite Fast-paced Momentum,positive
"Three stocks were added to the Zacks Rank #5 (Strong Sell) list today: Alico, Inc., Brookfield Renewable Partners L.P., and First Financial Northwest, Inc. The Zacks Consensus Estimate for their current year earnings has been revised downward significantly over the last 60 days.","['Zacks Rank', 'Strong Sell', 'Alico', 'Brookfield Renewable Partners', 'First Financial Northwest']",New Strong Sell Stocks for March 24th,negative
"AMD's EPYC processors and Instinct accelerators continue to power many of the world's fastest and most energy-efficient supercomputers, with AMD now powering 140 systems on the latest Top500 list, a 39% year-over-year increase. AMD also powers 8 of the top 10 most energy-efficient supercomputers on the Green500 list.","['supercomputers', 'high-performance computing', 'energy efficiency', 'AMD', 'EPYC', 'Instinct']",Latest Top500 List Highlights Several World's Fastest and Most Efficient Supercomputers Powered by AMD,positive
"Vishay Intertechnology, Inc. (VSH) is a good value stock pick based on its favorable valuation metrics, including a low P/E ratio and P/S ratio compared to the industry and market. The company also has a strong Zacks Rank and positive earnings estimate revisions, indicating potential for better performance in the near term.","['value investing', 'Vishay Intertechnology', 'valuation metrics', 'Zacks Rank', 'earnings estimates']",Is Vishay Intertechnology (VSH) a Worthy Pick for Value Investors?,positive
"First Financial Bankshares (FFIN) reported lower-than-expected earnings and revenue for the third quarter of 2023. The company's performance was impacted by various factors, and the outlook for the coming quarters remains uncertain.","['earnings', 'revenue', 'estimates', 'banking']",First Financial Bankshares (FFIN) Lags Q3 Earnings and Revenue Estimates,negative
"Avid Bioservices (CDMO) has seen a significant decline of 22.3% over the past four weeks, but technical and fundamental indicators suggest the stock is oversold and poised for a potential turnaround. The company's Zacks Rank #2 (Buy) and increased earnings estimates indicate a positive outlook.","['Avid Bioservices', 'CDMO', 'stock turnaround', 'oversold', 'earnings estimates']","Down -22.27% in 4 Weeks, Here's Why Avid Bioservices (CDMO) Looks Ripe for a Turnaround",positive
"The article highlights three companies - Domino's Pizza, Palo Alto Networks, and Prologis - that have demonstrated the ability to grow their earnings and cash flow, making them attractive growth stocks to buy despite the recent market sell-off.","['growth stocks', ""Domino's Pizza"", 'Palo Alto Networks', 'Prologis', 'earnings growth', 'cash flow']",3 Top Growth Stocks to Buy Without Any Hesitation Right Now,positive
"ExxonMobil's $60 billion acquisition of Pioneer Natural Resources has sparked interest in the Permian Basin, a key oil and gas region. The deal could signal a wave of consolidation in the energy sector as companies seek to expand their footprint and improve cost-effectiveness.","['ExxonMobil', 'Pioneer Natural Resources', 'Diamondback Energy', 'Permian Resources', 'Coterra Energy', 'Permian Basin', 'Mergers and Acquisitions']","The Zacks Analyst Blog ExxonMobil, Pioneer Natural Resources, Diamondback Energy, Permian Resources and Coterra Energy",positive
"Veeva Systems is expected to report earnings growth in the upcoming quarter, with analysts forecasting a year-over-year increase in earnings and revenues. The company's Earnings ESP suggests it is likely to beat the consensus EPS estimate.","['Veeva Systems', 'earnings', 'earnings growth', 'earnings expectations', 'earnings surprise']",Veeva Systems (VEEV) Reports Next Week: Wall Street Expects Earnings Growth,positive
"Peloton Interactive, Inc. (PTON) reported a quarterly loss of $0.68 per share, missing the Zacks Consensus Estimate of a loss of $0.45. The company's revenues of $642.1 million surpassed the consensus estimate. Peloton's stock has underperformed the market so far this year.","['earnings', 'earnings-estimates', 'earnings-outlook', 'earnings-surprise', 'industry-outlook', 'zacks-consensus-estimate', 'zacks-rank']","Peloton (PTON) Reports Q4 Loss, Tops Revenue Estimates",negative
Home Depot is experiencing a slowdown in revenue and profit following the boom times that started at the onset of the pandemic.,"['Home Depot', 'revenue', 'profit', 'slowdown']",Should Passive Income Investors Buy Home Depot Stock?,negative
"Crocs reported strong Q3 results, with revenue and earnings beating estimates. The Crocs brand saw solid growth, while the HEYDUDE brand declined. The company updated its 2023 guidance, lowering revenue and margin expectations.","['Crocs', 'HEYDUDE', 'Q3 results', '2023 guidance']",Crocs (CROX) Q3 Earnings & Revenues Beat on Solid Demand,positive
"UPS shares declined 2.69% after the company revealed the financial impact of its new labor deal with the Teamsters union. The deal will increase wage and benefit costs by 3.3% annually over the next five years, with a significant portion booked in the first year. UPS is looking to cut expenses to combat the higher labor costs and weak freight demand.","['UPS', 'labor deal', 'Teamsters', 'labor costs', 'expense cuts']",UPS Down Post Disclosure of Financial Details of Labor Deal,negative
"The Zacks Research Daily highlights the latest research reports on 16 major stocks, including Caterpillar, Equinor, and GSK. Caterpillar is expected to benefit from strong end-market demand and pricing actions, while Equinor faces debt exposure and challenges in capturing profit growth. GSK is facing generic competition and declining revenue, but its specialty products and pipeline progress are encouraging.","['Caterpillar', 'Equinor', 'GSK', 'Boston Scientific', 'Sysco', 'AmerisourceBergen', 'Fortive', 'Quanta', 'Omnicom', 'Acadia Healthcare', 'Zscaler', 'Tetra Tech', 'Helmerich & Payne', 'PTC', 'Boston Properties', 'MGM Resorts']","Top Research Reports for Caterpillar, Equinor & GSK",positive
"Fiverr, a gig-economy stock, saw its share price drop by 74% in 2022. However, the company's underlying business remains strong, with a high take rate and growing active buyers. While Fiverr's valuation has fallen significantly, the company is approaching profitability and could be a smart buy at recent prices.","['Fiverr', 'gig economy', 'freelance services', 'profitability']",Is Fiverr a Good Stock to Buy for 2023?,positive
"T-Mobile has successfully tested 5G standalone millimeter wave on its production network, achieving download speeds of 4.3 Gbps and upload speeds of over 420 Mbps. This test highlights the company's multi-band spectrum strategy to reach a broader user base across the country.","['5G', 'millimeter wave', 'T-Mobile', 'network', 'speed']",T-Mobile (TMUS) Accentuates Multi-Band Spectrum Strategy,positive
"eGain, a knowledge automation platform for customer engagement, has been recognized as a Visionary in Gartner's 2023 Magic Quadrant for CRM Customer Engagement Center. The eGain Customer Engagement Suite, powered by knowledge and generative AI, is a multi-channel solution that includes Knowledge Hub, Conversation Hub, and Analytics Hub.","['eGain', 'Gartner', 'Magic Quadrant', 'CRM Customer Engagement Center', 'knowledge automation', 'customer engagement']",eGain est reconnu Visionnaire dans le Magic Quadrant™ 2023 de Gartner® dans la catégorie « CRM Customer Engagement Center »,positive
"Vera Therapeutics, Inc. (VERA) has seen a significant 38.1% drop in its stock price over the past four weeks. However, the stock is now in oversold territory, and analysts expect the company to report better earnings than previously predicted, suggesting a potential turnaround in the near future.","['Vera Therapeutics', 'stock price', 'oversold', 'earnings estimates']","Down -38.05% in 4 Weeks, Here's Why You Should You Buy the Dip in Vera Therapeutics, Inc. (VERA)",positive
"The markets are turning more bullish ahead of key economic data and the Federal Reserve's policy decision. The S&P 500 surged to a 13-month high, and investors are awaiting earnings results from several companies.","['markets', 'inflation', 'federal reserve', 'earnings']","Markets Turn More Bullish Ahead Of Inflation Data, Fed's Rate Decision",neutral
"BridgeBio Pharma, a biopharmaceutical company, will host an investor call to discuss Phase 2 Cohort 5 data from its PROPEL2 clinical trial of the investigational therapy infigratinib in children with achondroplasia, the most common cause of disproportionate short stature.","['BridgeBio Pharma', 'infigratinib', 'achondroplasia', 'PROPEL2 clinical trial']","BridgeBio to Host Investor Call to Discuss Phase 2 Cohort 5 Data for Achondroplasia on March 6, 2023",positive
"Six analysts have provided 12-month price targets for Nomad Foods, with an average target of $22.00, ranging from $20.00 to $24.00. The analysts' ratings and sentiment on the stock are mixed, with some positive and some neutral views.","['Nomad Foods', 'analyst ratings', 'price targets']",6 Analysts Have This to Say About Nomad Foods,neutral
"Delta Air Lines stock gained after an analyst upgrade and options traders bet on the stock continuing to rise. The company recently reached a new deal with its pilots, providing a 34% pay boost over four years.","['Delta Air Lines', 'options trading', 'stock price', 'pilot contract']",Delta Air Lines Options Traders Betting Stock Will Continue Flying Higher,positive
"Despite recent challenges, PayPal's economic moat, fintech industry growth, and new CEO with relevant experience make it a promising long-term investment.","['PayPal', 'fintech', 'CEO', 'economic moat']",1 Magnificent Stock Down 66% That Could Make You Richer,positive
"Under Armour's stock has declined recently due to concerns over rising inventory levels, which could weigh on gross margins. However, the company's revenue growth and share repurchases suggest it may be a good long-term investment opportunity despite the near-term challenges.","['Under Armour', 'inventory', 'gross margin', 'revenue growth', 'share repurchases']",Why Under Armour Stock Tumbled This Week,positive
"Suncor Energy (SU) has been a trending stock on Zacks.com. The article analyzes the company's recent earnings estimates, revenue growth, and valuation to provide insights for investors.","['Suncor Energy', 'earnings estimates', 'revenue growth', 'valuation']",Suncor Energy  Inc. (SU) Is a Trending Stock: Facts to Know Before Betting on It,neutral
"Analyst downgrades SiTime due to lack of visibility in oscillators consumption and lower customer demand, leading to reduced revenue and earnings estimates for 2023 and 2024.","['SiTime', 'oscillators', 'customer demand', 'revenue', 'earnings']",SiTime Downgraded: Lack Of Visibility Of Oscillators Consumption And Customer Demand Prompt Analyst,negative
"Paramount Global is balancing its traditional broadcast and theater businesses with building a direct-to-consumer streaming service, Paramount+. While this has crushed its profits, the company has shown signs of progress, and the stock could have significant upside potential if it can effectively monetize its streaming business.","['Paramount Global', 'streaming', 'media', 'entertainment', 'investment']",Buying This Overlooked Streaming Stock With 100% Upside Could Be a Genius Move,positive
PagSeguro Digital Ltd. (PAGS) has a history of beating earnings estimates and is expected to continue this trend in its upcoming quarterly report. The company's positive Earnings ESP and Zacks Rank #3 (Hold) suggest a potential earnings beat.,"['earnings', 'earnings-beat', 'earnings-esp', 'earnings-estimates', 'earnings-streak', 'zacks-consensus-estimate']",Why PagSeguro Digital Ltd. (PAGS) Could Beat Earnings Estimates Again,positive
"GoPro is expected to report a year-over-year decline in earnings and lower revenues for the quarter ended December 2022. Analysts have revised their estimates downward, resulting in a negative Earnings ESP, making it difficult to predict an earnings beat.","['earnings', 'earnings-consensus', 'earnings-esp', 'earnings-estimates-revisions', 'earnings-expectations', 'earnings-preview', 'stock-price-change', 'zacks-consensus-estimate']",Analysts Estimate GoPro (GPRO) to Report a Decline in Earnings: What to Look Out for,negative
"Costco Wholesale (COST) has outperformed the Retail-Wholesale group so far this year, with a 21.6% return compared to the group's 11.8% average. Another outperformer is Shake Shack (SHAK), which has returned 34.3% year-to-date.","['Retail-Wholesale stocks', 'Costco Wholesale', 'Shake Shack']",Are Retail-Wholesale Stocks Lagging  Costco Wholesale (COST) This Year?,positive
